group,set,accurate
older,set1,9.092934507
older,set1,9.411821955
older,set1,9.180999155
older,set1,9.167285067
older,set1,9.141376704
older,set1,9.12929506
older,set1,9.313217798
older,set1,9.186485107
older,set1,9.437939311
older,set1,9.781206509
older,set1,9.274654244
older,set1,9.126325802
older,set1,8.987989824
older,set1,9.056246929
older,set1,9.166351259
older,set1,9.50149964
older,set1,9.476199065
older,set1,9.136752799
older,set1,9.019309034
older,set1,9.411148798
older,set1,8.967424147
older,set1,9.090580832
older,set1,9.38398855
older,set1,9.290107525
older,set1,9.321832747
younger,set1,8.99962834
younger,set1,9.443489424
younger,set1,9.305248962
younger,set1,9.436097659
younger,set1,9.622768766
younger,set1,9.530200092
younger,set1,9.958126298
younger,set1,9.533186312
younger,set1,9.47493609
younger,set1,9.596743285
younger,set1,9.20910181
younger,set1,9.447632862
younger,set1,9.730164208
younger,set1,9.351340403
younger,set1,9.779355273
younger,set1,9.427903214
younger,set1,9.341189185
younger,set1,9.567160616
younger,set1,9.098531159
younger,set1,9.211017006
younger,set1,9.651136338
younger,set1,9.728808954
younger,set1,9.484935956
younger,set1,9.26352052
younger,set1,9.666246208
older,set2,8.600967212
older,set2,8.498386276
older,set2,8.811948408
older,set2,8.561368876
older,set2,9.053148205
older,set2,8.860640514
older,set2,8.944617493
older,set2,8.466248183
older,set2,8.702921494
older,set2,8.577179643
older,set2,8.995891331
older,set2,8.94722256
older,set2,8.932960903
older,set2,8.884354739
older,set2,8.8439981
older,set2,8.879167834
older,set2,8.748866255
older,set2,8.517510945
older,set2,8.969108629
older,set2,8.886729805
older,set2,8.71512543
older,set2,8.979413199
older,set2,9.065343036
older,set2,8.469160861
older,set2,8.926181354
younger,set2,9.435747525
younger,set2,9.590064475
younger,set2,9.464736221
younger,set2,9.58681824
younger,set2,9.394323113
younger,set2,9.503376607
younger,set2,9.542074356
younger,set2,9.573517508
younger,set2,9.292611554
younger,set2,9.292497
younger,set2,9.434868979
younger,set2,9.247317137
younger,set2,9.617664675
younger,set2,9.337728688
younger,set2,9.523799391
younger,set2,9.647866266
younger,set2,9.24513827
younger,set2,9.332134578
younger,set2,9.599623808
younger,set2,9.603250429
younger,set2,9.465588458
younger,set2,9.372238959
younger,set2,9.433713003
younger,set2,9.37387799
younger,set2,9.501234918
older,set3,4.926314
older,set3,4.908678113
older,set3,4.89714418
older,set3,4.840215475
older,set3,4.691737705
older,set3,5.121533978
older,set3,5.043172545
older,set3,4.613044844
older,set3,5.062583303
older,set3,5.119340656
older,set3,5.078142673
older,set3,5.117887459
older,set3,5.045232173
older,set3,4.880617524
older,set3,5.160525184
older,set3,4.890687605
older,set3,4.896078813
older,set3,4.937589219
older,set3,4.985057245
older,set3,4.878916343
older,set3,4.813757092
older,set3,5.326144028
older,set3,4.772861126
older,set3,5.010932844
older,set3,5.037966702
younger,set3,7.539211107
younger,set3,7.386090118
younger,set3,7.334062278
younger,set3,7.899143115
younger,set3,7.708803311
younger,set3,7.692670059
younger,set3,7.703754704
younger,set3,7.77671091
younger,set3,7.874396262
younger,set3,7.777336443
younger,set3,7.82136195
younger,set3,7.725271786
younger,set3,7.870845756
younger,set3,8.155110227
younger,set3,7.687883433
younger,set3,7.628827027
younger,set3,7.643584032
younger,set3,7.647223943
younger,set3,8.051291499
younger,set3,7.596493136
younger,set3,7.823213507
younger,set3,7.929927597
younger,set3,7.750288335
younger,set3,8.294833763
younger,set3,7.834568413
older,set4,9.450215202
older,set4,9.497651203
older,set4,9.319369319
older,set4,9.156194232
older,set4,9.583473104
older,set4,9.4427981
older,set4,9.719017497
older,set4,10.20450938
older,set4,9.695685775
older,set4,9.78085203
older,set4,9.926652675
older,set4,9.835517767
older,set4,9.530403916
older,set4,9.69355724
older,set4,9.429133516
older,set4,9.519113693
older,set4,9.500329113
older,set4,9.728564067
older,set4,9.444480207
older,set4,9.604745283
older,set4,9.969977309
older,set4,9.576931807
older,set4,9.439805859
older,set4,9.719805474
older,set4,9.917616843
younger,set4,9.487792015
younger,set4,9.740995564
younger,set4,9.417680631
younger,set4,9.336929064
younger,set4,9.624944209
younger,set4,9.742529782
younger,set4,9.526456976
younger,set4,9.773053206
younger,set4,9.586507994
younger,set4,9.68471407
younger,set4,9.615682266
younger,set4,9.790828497
younger,set4,9.393815501
younger,set4,9.72323391
younger,set4,9.620029484
younger,set4,9.570662708
younger,set4,9.486665747
younger,set4,9.775164422
younger,set4,9.588374258
younger,set4,9.497322013
younger,set4,9.616009675
younger,set4,9.899373402
younger,set4,9.397605119
younger,set4,9.537687878
younger,set4,9.785375502
