"","set","accurate"
"1","set1",9
"2","set1",6
"3","set1",7
"4","set1",9
"5","set1",7
"6","set1",10
"7","set1",8
"8","set1",8
"9","set1",8
"10","set1",10
"11","set1",10
"12","set1",8
"13","set1",9
"14","set1",7
"15","set1",8
"16","set1",6
"17","set1",6
"18","set1",9
"19","set1",5
"20","set1",8
"21","set1",8
"22","set1",10
"23","set1",9
"24","set1",9
"25","set1",10
"26","set2",8
"27","set2",8
"28","set2",9
"29","set2",9
"30","set2",8
"31","set2",10
"32","set2",9
"33","set2",9
"34","set2",10
"35","set2",9
"36","set2",7
"37","set2",8
"38","set2",6
"39","set2",8
"40","set2",9
"41","set2",9
"42","set2",10
"43","set2",10
"44","set2",8
"45","set2",6
"46","set2",9
"47","set2",6
"48","set2",5
"49","set2",6
"50","set2",3
"51","set3",10
"52","set3",3
"53","set3",8
"54","set3",3
"55","set3",8
"56","set3",4
"57","set3",5
"58","set3",5
"59","set3",3
"60","set3",5
"61","set3",4
"62","set3",6
"63","set3",5
"64","set3",1
"65","set3",6
"66","set3",7
"67","set3",5
"68","set3",5
"69","set3",5
"70","set3",5
"71","set3",3
"72","set3",2
"73","set3",5
"74","set3",5
"75","set3",3
"76","set4",9
"77","set4",6
"78","set4",7
"79","set4",8
"80","set4",8
"81","set4",8
"82","set4",6
"83","set4",9
"84","set4",6
"85","set4",6
"86","set4",10
"87","set4",8
"88","set4",10
"89","set4",7
"90","set4",8
"91","set4",9
"92","set4",8
"93","set4",9
"94","set4",10
"95","set4",9
"96","set4",9
"97","set4",8
"98","set4",9
"99","set4",9
"100","set4",10
